gold	param	spearman_r	p_value	n
sspg	si	0.20668788485122197	0.5666951380068741	10
sspg	mi	-0.7112494861056756	0.021090925985548795	10
sspg	tau_m	-0.11550205329921229	0.750683041040583	10
sspg	sg	-0.18845071854082002	0.6020947513149705	10
di	si	-0.14285714285714288	0.7871720116618075	6
di	mi	0.48571428571428577	0.3287230320699709	6
di	tau_m	0.2571428571428572	0.6227871720116618	6
di	sg	0.14285714285714288	0.7871720116618075	6
homa_ir	si	-0.06666666666666667	0.8646897846262037	9
homa_ir	mi	-0.38333333333333336	0.30849527238037144	9
homa_ir	tau_m	0.09999999999999999	0.797971695234851	9
homa_ir	sg	0.15	0.7000942309691419	9
homa_b	si	0.13333333333333333	0.7323675052362975	9
homa_b	mi	0.6666666666666667	0.0498672305688851	9
homa_b	tau_m	0.5333333333333333	0.13922686754397814	9
homa_b	sg	0.6166666666666666	0.07692880993776309	9
