gold	param	spearman_r	p_value	n
sspg	si	0.3142857142857143	0.5440932944606414	6
sspg	mi	0.08571428571428573	0.8717434402332361	6
sspg	tau_m	0.08571428571428573	0.8717434402332361	6
sspg	sg	-0.14285714285714288	0.7871720116618075	6
di	si	-0.14285714285714288	0.7871720116618075	6
di	mi	0.2	0.704	6
di	tau_m	0.2	0.704	6
di	sg	0.2571428571428572	0.6227871720116618	6
homa_ir	si	0.0	1.0	7
homa_ir	mi	-0.21428571428571433	0.6445115810207203	7
homa_ir	tau_m	-0.21428571428571433	0.6445115810207203	7
homa_ir	sg	-0.25	0.5887244480896833	7
homa_b	si	-0.10714285714285716	0.8191508555699912	7
homa_b	mi	-0.1785714285714286	0.7016579425162729	7
homa_b	tau_m	-0.1785714285714286	0.7016579425162729	7
homa_b	sg	-0.10714285714285716	0.8191508555699912	7
